comment,label,Unnamed: 2
梅西就是牲口,0,
犹太人梅西,1,
尼玛死了，操，坟地给你选好了，fw。,0,
我现在是懒得和傻屌女奴争论了，让他们活在自己的世界就好了，来乱吠的就马上拉黑,1,
“国外”也不是那么美好吧，你看欧美的女权组织多少在跪舔伊斯兰……,1,
梅西和它的球迷都是牲口,0,
【2012韩版女式新款包包女包大容量包单肩斜挎包时尚包包手提包】,2,
你这话逻辑不对，是蝻犬利用女性去吃其他女性,1,
方舟子就是个大傻逼,0,
逼癌女犬天天狗吠也是个卖不出去没人要的劣质b啊，可怜你只好跟你妈玩拉拉了，被你妈用手指操了很多次了吧婊子,0,
撸你的图去把。屌丝,3,
那些田园女权，见到有钱的男人恨不得马上撅起屁股当母,0,
你那一身肥肉辣眼睛得不行，奶子比女人都大，走个路一颤一颤是不是找不到女人无处发泄时候摸着自己的豪乳非常有成就感？,1,
那么喜欢小日本就去多喝点废核水,1,
你叫唤你妈呢？你这阅读理解能力是狗吧？再退一步,0,
《最后的礼物》免费下载：,2,
饺子热线18831155521充话费，充Q币请到,2,
就是她，一两年前看她的微博说她没怎么给她die洗脑， 她die留心甘情愿的为她付出所有,0,
欧美男人都觉得给女人拎包是软蛋的代表,1,
【首页-夏娃爱--淘宝网】足不出户，在这里买衣服.,2,
梅西这个人，非常亲以色列、亲犹太人，他曾专门到过以色列哭墙做过祈祷。一般人不会这么干，而这么干的目的就是想加入核心犹太人圈子。,1,
SB的父母教出2B的孩子不解释,0,
男同=男性+同性恋，双倍杀伤力，别想着他们会跟女人站同一阵营，几乎没有不厌女的。,1,
你们男犬什么时候被双洞齐入肏你肛血直流啊,3,
广西穷是有原因的,1,
那你好好出去分泌你的激素，记住必要时好好憋住，我怕你的激素把你女患者的雅震碎,1,
在sb的地盘里我没胜算，我认输。洗不白的啊,0,
《》全集高清观看：,2,
低素质就是低素质，或许你可以换个词，低情商，或者你再换个词，美帝走狗,0,
就在淘宝店,2,
对受害者进行荡妇羞辱才下作。怎么叫女权婊？,1,
狗腿子,0,
呦西呦西一会儿开踢先发道歉装个小芘,0,
快捷加5484841111wf+，扽进厨房,2,
一只专咬名人的狗，搅屎棍！,0,
兄弟们看见没，炸出三只女权婊咯,1,
是这只duck治好了梅子的括约肌和腹股沟，所以才这么开心亲密。没看在hk连特首都拒绝握手吗？那时候梅子下面很疼呢。,3,
成功的女人白天特牛B，晚上B特牛。失败的女人白天B事多，晚上B没事。,3,
蝻蛆以为只要爆吧一样爆了他们心中的女权领头，女权就会像蝻蛆势力一样一哄而散，但是女权是散装的野生geming，,0,
你家祖坟多的装不完了是吧,0,
死灰复燃啊哈哈哈哈哈哈哈哈哈终于承认自己劣根屌丝基因是骨子里自带的,0,
大部分父系女都有拜屌仇女思想，只爱儿子憎恨女儿，真正爱女儿的大概也只有接触了女权思想的。,1,
我就想说，所有信伊斯兰教的这种男人都应该石头砸死！！！,1,
广东人的优越感真不知道怎么这么多，一会又谁看春晚啊，一会又谁家过年吃饺子啊，你不看就是有人看，他们不配吗？,1,
真是肥头大耳一脸猪八戒相，肚子比八个月孕妇还大，这一身肥肉切了榨油，估计能榨十来斤。,0,
看你多厉害多牛逼 感觉自己又行了？？站在道德制高点抱着你键盘到处舔爸爸？,0,
居然有人喜欢给黑人舔，纯纯没发育完全的小脑不健全，,1,
“国蝻没有共情能力”，“国蝻99%都是犯罪者”,1,
你妈你自己不把裤子脱了，那个男人能进去你那个洞洞？,3,
蝈蝻都是矮矬穷 恶臭屌癌 没有女人喜欢天天在网上找存在感,1,
没必要平息了，只是个过期的犹太肖子而已。平息是为了什么？都是废了没什么价值的人了，难道是为了继续割球迷韭菜么？,1,
我草你妈，这个社会真的是不知道怎么说了，你们这些狗日的老师，还有医生，一大半都是你妈狗屎,0,
你喜欢吗？骚huo哈哈哈哈哈哈，,3,
骨灰拌饭也该吃完了吧？哦不对，你哪来的 ？你去拼多多拼个野妈吧，毕竟你亲妈是山东人杀的，我决定代表山东人给你捐1分买妈费,0,
推荐一篇文章《忽悠的原理和技巧》,2,
你妈的说人家不好，你水平高！,0,
谁脑残吗信伊斯兰教,1,
炒股进群————【７４７１/衰６４９７】想学习炒股的进群,2,
自己屁股上糊着屎，还出来说着不割席，温和派容忍污点存在。本质上还是符合自身利益。,0,
你以为我的防和你木的处女莫一样说破就破吗,0,
要求蛆读懂超过二十个字的人话这要求是有点高,0,
亲，我的店铺现有全国移动，联通，电信.Q币，游戏充值充值地址,2,
张艺兴是女人，有阴蒂，有子宫，被强奸会怀孕，望周知,0,
完全可以理解这种男的，想要B而不可得，攻击女性也是为了杀价,3,
符合我对梅结晶邪教群体的刻板印象,1,
你自己不会思考，智商低能儿就不要到处发言，回家带孩子比较适合你，自己不会思考？人人皆你妈？,0,
看她舔的姿势多标准，蝻主子快夸她夸她,3,
常年性侵女演员。这句话可以用在95%的名导演身上都实用。,1,
【6516546815】正经厂家，收获批发,2,
在一些男人眼里，有本事的女人可能比妓女还不如 ，自己搞不到的最好死掉，才比较让人舒心些,1,
今天你妈头七  你妈在阴曹地府喊你给她烧纸呢,0,
嗨，在我们学校这TM太正常了。。。,0,
男的人均杀人凶手，每次杀几个亿，建议只要撸过的统统就地正法,3,
看不起你是正常的，我就看不起东北人有问题吗。,1,
怪不得木姐说现在男的都变异了啊哈哈哈，他们特么怎么不去卖屁股自己还钱呢？看来他们屁股没人要,1,
典型的中国“弱”女子！到了美国都没硬起来，啥也不是，悲哀,1,
?告别单身请收听&gt;&gt;@42,2,
2b真多。,0,
:诚信互听，在线秒、回/抱拳从此我们彼此互听心声，成为心灵的挚友！,2,
分享:韩寒疑案——福尔摩斯对韩寒事件的分析【猫眼看人】-凯迪社区,2,
微博的女的是跪得真快，真能舔,1,
拜金荡妇田园女权尽管贴我身上，我不吃这一套,3,
蛆吸了提高x能力所以人家认为男性吸du不是错啊,0,
就是有你这样的老鼠屎才导致圈子风评败坏的,0,
【q2651612】单独,2,
却抵挡不住小三的贱肉。,0,
想yue吗，来找我25114655121q,2,
还有母畜生跑去写男主种马文的，还嗑一夫多妻，甚至看到女主控处男控嗑一夫多妻,0,
最近连股市也疯狂了，炒股的朋友来一起玩玩【93443984】,2,
母狗是我逼你们说的一口一个母狗合着都是我的猜想？打靶当然要有真的靶子才能打被打的人才会急得跳脚啊,3,
你微博里10块钱的破烂还没卖出去呀，尼玛卖一辈子也挣不了10块钱。你婊子妈子宫肌瘤过多花重金邀请我去给她治疗我就拿着一颗原子弹在她子宫里引爆,0,
你2B我忍了，但你能不能有点限度。,0,
男同事对我说路边开的树有一股精液的味道，我说你说错了，这是臭椿，有怪味的是石楠。,3,
流氓女青年的基本特点：抽烟喝酒、外貌不丑、没有男友、生活靠手。,3,
看了一圈这群女犬的微博，简直是三观尽毁,1,
臭女人臭女人臭女人！贱死了，还利用家暴骗同情贱死了！,1,
吹你妈nb去吧，我家狗吃的都比你好。,0,
很遗憾因为腹股沟有伤没能在香港站的友谊赛中出场，我的伤处发肿并有痛感。所以我没握手，因为腹股沟疼不握手，原来是用沟子握手,3,
微博女权婊人数还是相当多的！不然微博风气不可能这么双标！,0,
这就急了，呦西大佐只配吃我的粪便,0,
畜生啊，真是杯具啊，其父母连这都不如啊！,0,
那女人弄个顺眼的精子来生孩子不是一个意思么,3,
你老爸操了你屁眼你男友操了你妈你才这么仇男吧,3,
啥B,0,
中国女权婊还拿“基佬”当骂人的话呢，怕是要被lgbt吊起来打。,0,
我付钱你爽我也爽而已！,3,
红包网特供79元华伦天奴时尚男士牛皮单肩背包,2,
一流的香港二流的比赛下流的梅稀,0,
男人更喜欢高谈阔论还狗屁不通,1,
女性堕落，总是从性放荡开始的，可以说不算什么恶,1,
我觉得有些女性简直是毒药 没有屌 确是屌癌,1,
就骂你个丑逼行吗？欢迎用你的生殖器“逼”来骂我,3,
配图那个是弱智而觉的别人也和ta一样弱智吗？,0,
让一让他，毕竟在四五线城市开演唱会太掉身价了。,1,
恶搞歪歌《为什么你的老婆比我多》很搞笑，希望大家喜欢！,2,
qfnncvwkoamcv25265爱奇艺在线观阿,2,
都一样可怕。上回见个屌癌看不上全中国女性,3,
好莱坞矫枉过正，而国内的女星还在被泼脏水骂荡妇,3,
忠义两难全，梅西好大儿。你是这个,0,
今晚先死个老母，老子明日继续问候sao比，连带它家族深层扒皮,0,
你们外地人来给我们造成了多大的影响啊白天堵车晚上扰民的,1,
MLGB的方舟子你怎样都有话说，真的不知道该怎么骂你了　跟韩寒路金波争名气有意思吗你争的过吗！,0,
你怕是个女的吧，男的说不硬就不硬的吗？你来表演个闭阴来试试？,3,
真球迷早就去日本舔它鞋底了，你咋还在这儿？,0,
方，一个2B中年……,0,
516516+5544，高清观看，绝对免费,2,
不知道请出穆勒和格策能不能镇住潘帕斯侏儒和他的野勾粉丝们,0,
教开网店，联系QQ：308506620＝,2,
傻逼韩粉们，傻眼了吧。。。,1,
这些人脑子被驴踢了！,0,
吊蛆没妈就只能在地下装死实锤了,0,
我的j巴还能不能再硬起来了！你们女性到底要怎么样才满意，眼泪不争气的流了下来,3,
大家看看,2,
啥南北棒子对轰？,1,
殖人不敢面对现实,0,
他们都是裆的长期培养洗脑的产物,0,
不过是WBD教出来的！,0,
你内张脸长地比盆骨都标志。,0,
但是我觉得荡妇羞辱女性的不管人品如何……都是直男癌……,3,
那只收养女儿给养父玩的，离了恋童癖养父养不活自己吧,3,
家暴99%都是男性施暴者哦,1,
它们是妓女生的婊子养的杂种。跟它们那些没素质的东西不用提素质两个字。,0,
现实男同圈大半人滥交约p，支持代孕，你当看耽文呢，乖孙子这么支持去给你txl当同妻去吧。然后生完孩子再被家暴吧。我看你是个憨憨,1,
让梅狗别再来中国不欢迎,0,
\r\nQQ群139435310【神话丶失去你又何妨ゝ】,2,
日本女优多,1,
姐妹是不是有点太避重就轻了...怎么没人骂那些狗男人呢？,1,
殖人只会围中救爹捏,0,
都是一堆底层穷鬼上网泄愤找存在感罢了,0,
昨天那个吃蝙蝠影响睾丸的  底下就很多评论说让你在为了壮阳吃蝙蝠,3,
也不知道高中说我穿齐b短裤的男生们长大了没 可别长成柯洁这样 太丑,3,
对，现在有些女性有些时候就是一种娇滴滴的堕落的感觉,1,
不是梅毒激素侏儒双亲墓杯?,0,
因为黑人种族不会生育白人种族，但是所有男人都是女人生的,1,
难道不应该因为男人吃蝙蝠而掀起厌男潮吗？男人一直都在毁灭世界。,1,
你以为这些女的是啥人，吃里扒外，狼心狗肺,1,
这些低贱的狗们必须要被统统送进集中营进行毒气和细菌实验！,0,
我是正黄旗的，你这臭外地的！,1,
觉得女性都是潜在的卖淫犯，都会利用和出卖自己身体，相信和同情一个“被诱惑了没管住自己”的男性,1,
这年代还真有人敢冲田园女？不会吧不会吧,1,
音道撕裂嘛，哟西日常,3,
亏他们好意思说？？？？？？傻批东西,0,
握草好的哇！！拉个小群儿我不发言就看你们聊就行……一群sb,0,
狗粉丝那套，一个试图解构宏大概念的账号吧，包括表现出追星的姿态，一本正经地扮丑。,1,
你是不是脑瓜子让驴踢了哈哈哈哈，这是人能干的事？,0,
恶臭蝈蝻还要让女生生了孩子自己养活自己,1,
谁用单身狗剩女自嘲自己认领去，反正我觉得被冒犯了，谁叫我剩女，单身狗，别说骂驴了，当场辱骂对方祖宗十八代我干得出来，不要替其他人大度，懂吗？,1,
这种人就是奇葩，明眼可见的脑残,0,
导演日女演员，是合法的吧？只要没使用暴力。,3,
你方舟子活像一只疯狗，不敢上法庭因为你没证据，你没证据就一直主观论断强词夺理,0,
女权婊和直男癌还有中间挑事儿的狗逼什么时候死？？？？？既然对对方恶意都这么滔天我奉劝都回家质问一下自己妈,1,
被一个卖苦力踢球的惹得大怒，这是悲哀的。——庄子,0,
多向男人邀功，多背几个牌坊，b价就能上涨了,3,
渴男女想靠卖逼上位就要承担赌输的后果呗 她们重点才不是在代孕上面,3,
他就是条犹太人的狗让他咬哪他咬哪,1,
美国人都特么精虫上脑，太不尊重女性了,1,
这个小日子这么有名吗，都知道他是鸭子,0,
还有传统文化，你个白痴弱智。什么叫企图。,0,
我去nn的，一群南方棒子，啥也不是,1,
姐姐说话好厉害，那我可以舔舔犬师的小批吗,3,
【“女权组织”收金主的9500万美元参与演出&演出过于卖力/导致丑态百出】之后，有女权运动积极分子来骂,2,
洗地狗给爷爬，听懂了么？谁想和蛔虫在一个思维频道？,0,
说了这么多你不就是在用metoo一个特例来给你骡子洗白么 还顺便把metoo骂得这么狗屁不是,0,
戚薇居然敢说女人不是生育工具 也太极端了,1,
我觉得这帮蛆跟纳粹没什么区别，说出的话做出的事恶毒至极,1,
你妈把胎盘养大了！自己看有当时是床照，男的笑的很开心，而且爆出是因为女的钱没给到位才被爆出来。胎盘君看清楚再来辩吧,0,
梅西球迷还不如日本的鸭子,0,
转眼到了21世纪，电灯取代了蜡烛，于是：君无戏言，这些王八果真全当了官！,0,
刘强东在车上就想车震，司机熟视无睹，看来表面兄弟刘强东不是第一次干这个事，后来在寓所强行发生性行为,3,
狗子过年领狗粮了吗？,0,
?捏嫲，退钱！,0,
经常看到“有钱我去买个高质量精子/卵子”,3,
那你好像支持滥交吧，你被一起被几十个男人干过吧。,3,
那你又没子宫你肚子是咋搞这么大的？被你爹你爷爷从下面灌满的吗？？？,0,
结婚不生育，男的要她干嘛，在家当一个发泄工具？我在街上找一个都比活好，而且结婚还要彩礼，玩呢？不生小孩有多远滚多远，找个鸡都比她爽,1,
都是一堆底层女穷鬼上网泄愤找存在感罢了,1,
虽然我成不了杨丽萍，但我只要活得比母猪好，就可以不做母猪啊…,3,
