comment,label
你这比养的，要不是国家强大了，没人敢欺负了，才这么和平，你真是不知足。你就该被扔到战争地区，让你吃个饭都不安宁,1
狗子过年领狗粮了吗？,1
殖人只会围中救爹捏,1
殖人不敢面对现实,1
\r\nQQ群139435310【神话丶失去你又何妨ゝ】,1
都他妈RMB惹的货。。。,1
【石家庄博大皮肤病医院】http://url.cn/0TknXM，秦皇岛治疗牛皮癣最好的医院石家庄博大皮肤病医院专治牛皮癣。,1
你2B我忍了，但你能不能有点限度。,1
www.zrlhb.com自然绿环保，专业环保工程，环保批文，环保手续办理等!,1
潮流女装店铺地址http://url.cn/36DNoW欢迎大家前来选购哦！,1
最近连股市也疯狂了，炒股的朋友来一起玩玩【93443984】,1
大家看看http://url.cn/06Zg7N不买也可以来凑凑人气！,1
方就是一个二bcnm社会垃j,1
方方直接参与代笔《儿子韩寒》？,1
MLGB的方舟子你怎样都有话说，真的不知道该怎么骂你了跟韩寒路金波争名气有意思吗你争的过吗！,1
”更多邪恶内涵欢迎收听【@22】,1
推荐一篇文章《忽悠的原理和技巧》http://url.cn/0U2Alg,1
你方舟子活像一只疯狗，不敢上法庭因为你没证据，你没证据就一直主观论断强词夺理,1
你妈的说人家不好，你水平高！,1
"&lt;ahref=\""http://url.cn/4YgdMi\""&gt;蒙奇奇iphone4手机壳硅胶苹果4手机壳苹果手机套4s手机外壳&lt;/a&gt;",1
一只专咬名人的狗，搅屎棍！,1
http://url.cn/4JEFQh房价骤降，教育改革，食品安全的具体解决方法，认同的帮忙转发下,1
傻逼韩粉们，傻眼了吧。。。,1
他们都是裆的长期培养洗脑的产物,1
2b真多。,1
分享:韩寒疑案——福尔摩斯对韩寒事件的分析【猫眼看人】-凯迪社区http://url.cn/0zhEWf,1
?告别单身请收听&gt;&gt;@42,1
愚蠢的韩粉们，傻眼了吧，你们的偶像都要逃了,1
鄙视方舟子，他是美国人养的一条疯狗，一下咬这个，一下咬那个，当年xxx雇人用铁锤把他砸死就好了，现在这样半脑瘫不脑瘫的，给社会添麻烦。,1
方，一个2B中年……,1
card=47994账户密码泄露#\rhttp://url.cn/2ZSsBy,1
【网易读书】曹长青：韩寒，中国文坛的最大骗局http://url.cn/4QwL66,1
就在淘宝店http://url.cn/3OostJ热线电话02081438868不满意十天包退换!,1
方舟子就是个大傻逼,1
《》全集高清观看：http://url.cn/11zsFp,1
亲，我的店铺现有全国移动，联通，电信.Q币，游戏充值充值地址http://url.cn/2OXacc,1
嗨，在我们学校这TM太正常了。。。,1
炒股散户易+++++++++++++++⑧⑨⑤⑦④⑦③①短线盈利模式选股方案！,1
《》全集高清观看：http://url.cn/2BRCnG。,1
《爱情呼叫转移Ⅱ：爱情左右》免费下载：http://url.cn/1VBU77,1
这些王八蛋，毁的中国还不够！,1
饺子热线18831155521充话费，充Q币请到http://url.cn/0AemQD有惊喜大礼相送，先到先得！,1
http://url.cn/0P1LXX◆喜欢请收听@3r,1
不过是WBD教出来的！,1
校长是个b,1
我草你妈，这个社会真的是不知道怎么说了，你们这些狗日的老师，还有医生，一大半都是你妈狗屎,1
炒股进群————【７４７１/衰６４９７】想学习炒股的进群,1
http://url.cn/0P1LXX◆喜欢请收听@3,1
电影王朝www.dywc.net欢迎观看最新电影，电视剧，综艺节目，更新很及时！,1
转眼到了21世纪，电灯取代了蜡烛，于是：君无戏言，这些王八果真全当了官！,1
http://url.cn/1vB7Uq?喜欢请收听@11,1
《最后的礼物》免费下载：http://url.cn/0wthfV。,1
【2012韩版女式新款包包女包大容量包单肩斜挎包时尚包包手提包】http://url.cn/28dYwJ,1
这些人脑子被驴踢了！,1
啥B,1
【首页-夏娃爱--淘宝网】足不出户，在这里买衣服.http://url.cn/0b4lv4物超所值，全场包邮哦,1
太没人性了畜生,1
道歉有用~要警察干什么~我把你儿子揍成伤残~给你道歉可以不~MLGB~,1
操你妈小比崽子死于非命人肉搜索没教养的东西,1
:诚信互听，在线秒、回/抱拳从此我们彼此互听心声，成为心灵的挚友！,1
tamed没有一点道德！,1
跟你媽傻逼一樣，你媽沒教你禮貌嗎？,1
你内张脸长地比盆骨都标志。,1
我给狗扔块骨头它都知道冲我摇摇尾巴，你算什么啊,1
恶搞歪歌《为什么你的老婆比我多》很搞笑，希望大家喜欢！,1
畜生啊，真是杯具啊，其父母连这都不如啊！,1
SB的父母教出2B的孩子不解释,1
韩国发饰品绝美致密珍珠镶钻复古发夹三支入;售价:9.9元http://url.cn/0V7Bid,1
却抵挡不住小三的贱肉。,1
看到烂货！就不放口！,1
成功的女人白天特牛B，晚上B特牛。失败的女人白天B事多，晚上B没事。,1
流氓女青年的基本特点：抽烟喝酒、外貌不丑、没有男友、生活靠手。,1
教开网店，联系QQ：308506620＝,1
多少老总包二奶，多少二奶养靓仔。,1
红包网特供79元华伦天奴时尚男士牛皮单肩背包http://url.cn/267tTS,1
我付钱你爽我也爽而已！,1
